name,id,visitor_history,coordinates
Mount Rainier National Park,Q944329,"[{'year': '1910', 'visitors': 8000}, {'year': '1920', 'visitors': 56491}, {'year': '1930', 'visitors': 265620}, {'year': '1940', 'visitors': 456637}, {'year': '1950', 'visitors': 573685}, {'year': '1960', 'visitors': 1538700}, {'year': '1970', 'visitors': 1925100}, {'year': '1980', 'visitors': 1268256}, {'year': '1990', 'visitors': 1327101}, {'year': '2000', 'visitors': 1344833}, {'year': '2010', 'visitors': 1191754}, {'year': '2020', 'visitors': 1160754}]","{'longitude': -121.75, 'latitude': 46.85}"
National Park of American Samoa,Q843075,"[{'year': '2010', 'visitors': 3006}, {'year': '2020', 'visitors': 4819}]","{'longitude': -170.68333333, 'latitude': -14.25833333}"
New River Gorge National Park and Preserve,Q7011245,"[{'year': '1990', 'visitors': 378035}, {'year': '2000', 'visitors': 1132531}, {'year': '2010', 'visitors': 1151213}, {'year': '2018', 'visitors': 1232627}, {'year': '2019', 'visitors': 1195721}, {'year': '2020', 'visitors': 1054374}]","{'longitude': -81.0817, 'latitude': 37.9608}"
North Cascades National Park,Q1163799,"[{'year': '1970', 'visitors': 295000}, {'year': '1980', 'visitors': 796079}, {'year': '1990', 'visitors': 456444}, {'year': '2000', 'visitors': 25704}, {'year': '2010', 'visitors': 24659}, {'year': '2018', 'visitors': 30085}, {'year': '2019', 'visitors': 38208}, {'year': '2020', 'visitors': 30885}]","{'longitude': -120.911388888, 'latitude': 48.483055555}"
Olympic National Park,Q372093,"[{'year': '1940', 'visitors': 91863}, {'year': '1950', 'visitors': 404125}, {'year': '1960', 'visitors': 1160400}, {'year': '1970', 'visitors': 2283100}, {'year': '1980', 'visitors': 2032418}, {'year': '1990', 'visitors': 2794903}, {'year': '2000', 'visitors': 3327722}, {'year': '2010', 'visitors': 2844563}, {'year': '2016', 'visitors': 3390221}, {'year': '2020', 'visitors': 2499177}]","{'longitude': -123.75, 'latitude': 47.7}"
Petrified Forest National Park,Q305949,"[{'year': '1920', 'visitors': 30390}, {'year': '1930', 'visitors': 105433}, {'year': '1940', 'visitors': 199420}, {'year': '1950', 'visitors': 352889}, {'year': '1960', 'visitors': 911500}, {'year': '1970', 'visitors': 1151400}, {'year': '1980', 'visitors': 683121}, {'year': '1990', 'visitors': 844592}, {'year': '2000', 'visitors': 605192}, {'year': '2010', 'visitors': 664725}, {'year': '2018', 'visitors': 644922}, {'year': '2019', 'visitors': 643588}, {'year': '2020', 'visitors': 384483}]","{'longitude': -109.806, 'latitude': 35.0881}"
Pinnacles National Park,Q1783768,"[{'year': '1930', 'visitors': 11862}, {'year': '1940', 'visitors': 25068}, {'year': '1950', 'visitors': 24814}, {'year': '1960', 'visitors': 72000}, {'year': '1970', 'visitors': 166200}, {'year': '1980', 'visitors': 163626}, {'year': '1990', 'visitors': 214268}, {'year': '2000', 'visitors': 162110}, {'year': '2010', 'visitors': 246575}, {'year': '2011', 'visitors': 393219}, {'year': '2012', 'visitors': 224476}, {'year': '2013', 'visitors': 237677}, {'year': '2014', 'visitors': 196635}, {'year': '2015', 'visitors': 206533}, {'year': '2016', 'visitors': 215555}, {'year': '2017', 'visitors': 233334}, {'year': '2018', 'visitors': 222152}, {'year': '2019', 'visitors': 177224}, {'year': '2020', 'visitors': 165740}, {'year': '2021', 'visitors': 348857}, {'year': '2022', 'visitors': 275023}]","{'longitude': -121.167, 'latitude': 36.4869}"
Redwood National and State Parks,Q191824,"[{'year': '1980', 'visitors': 471710}, {'year': '1990', 'visitors': 348458}, {'year': '2000', 'visitors': 383253}, {'year': '2010', 'visitors': 418820}, {'year': '2011', 'visitors': 380167}, {'year': '2012', 'visitors': 352517}, {'year': '2013', 'visitors': 393364}, {'year': '2014', 'visitors': 429166}, {'year': '2015', 'visitors': 527143}, {'year': '2016', 'visitors': 536297}, {'year': '2017', 'visitors': 445000}, {'year': '2018', 'visitors': 482536}, {'year': '2019', 'visitors': 504722}, {'year': '2020', 'visitors': 265177}, {'year': '2021', 'visitors': 435879}, {'year': '2022', 'visitors': 458400}]","{'longitude': -124.058333, 'latitude': 41.529167}"
Rocky Mountain National Park,Q777183,"[{'year': '1920', 'visitors': 240966}, {'year': '1930', 'visitors': 255874}, {'year': '1940', 'visitors': 627847}, {'year': '1950', 'visitors': 1275160}, {'year': '1960', 'visitors': 1532500}, {'year': '1970', 'visitors': 2357900}, {'year': '1980', 'visitors': 2641937}, {'year': '1990', 'visitors': 2647323}, {'year': '2000', 'visitors': 3185392}, {'year': '2010', 'visitors': 2955821}, {'year': '2018', 'visitors': 4590493}, {'year': '2019', 'visitors': 4670053}, {'year': '2020', 'visitors': 3305199}]","{'longitude': -105.6833, 'latitude': 40.35}"
Saguaro National Park,Q676206,"[{'year': '1920', 'visitors': 5000}, {'year': '1930', 'visitors': 50000}, {'year': '1940', 'visitors': 16892}, {'year': '1950', 'visitors': 36220}, {'year': '1960', 'visitors': 141000}, {'year': '1970', 'visitors': 351800}, {'year': '1980', 'visitors': 611317}, {'year': '1990', 'visitors': 702328}, {'year': '2000', 'visitors': 765195}, {'year': '2010', 'visitors': 717614}, {'year': '2018', 'visitors': 957405}, {'year': '2019', 'visitors': 1020226}, {'year': '2020', 'visitors': 762226}]","{'longitude': -110.5, 'latitude': 32.25}"
Sequoia National Park,Q152660,"[{'year': '1910', 'visitors': 2407}, {'year': '1920', 'visitors': 31508}, {'year': '1930', 'visitors': 129221}, {'year': '1940', 'visitors': 282198}, {'year': '1950', 'visitors': 379218}, {'year': '1960', 'visitors': 610800}, {'year': '1970', 'visitors': 875700}, {'year': '1980', 'visitors': 862397}, {'year': '1990', 'visitors': 1063538}, {'year': '2000', 'visitors': 838947}, {'year': '2010', 'visitors': 1002979}, {'year': '2011', 'visitors': 1006583}, {'year': '2012', 'visitors': 1106584}, {'year': '2013', 'visitors': 909274}, {'year': '2014', 'visitors': 1039137}, {'year': '2015', 'visitors': 1097464}, {'year': '2016', 'visitors': 1254688}, {'year': '2017', 'visitors': 1291256}, {'year': '2018', 'visitors': 1229594}, {'year': '2019', 'visitors': 1246053}, {'year': '2020', 'visitors': 796086}, {'year': '2021', 'visitors': 1059548}, {'year': '2022', 'visitors': 1153198}]","{'longitude': -118.772777777, 'latitude': 36.564722222}"
Shenandoah National Park,Q1137401,"[{'year': '1940', 'visitors': 950807}, {'year': '1950', 'visitors': 1279387}, {'year': '1960', 'visitors': 1780100}, {'year': '1970', 'visitors': 2411500}, {'year': '1980', 'visitors': 1699228}, {'year': '1990', 'visitors': 1771780}, {'year': '2000', 'visitors': 1419579}, {'year': '2010', 'visitors': 1253386}, {'year': '2018', 'visitors': 1264880}, {'year': '2019', 'visitors': 1425507}, {'year': '2020', 'visitors': 1666265}]","{'longitude': -78.35, 'latitude': 38.5333}"
Theodore Roosevelt National Park,Q1137669,"[{'year': '1950', 'visitors': 71447}, {'year': '1960', 'visitors': 223200}, {'year': '1970', 'visitors': 680000}, {'year': '1980', 'visitors': 595734}, {'year': '1990', 'visitors': 460718}, {'year': '2000', 'visitors': 431813}, {'year': '2010', 'visitors': 623748}, {'year': '2018', 'visitors': 749389}, {'year': '2019', 'visitors': 691658}, {'year': '2020', 'visitors': 551303}]","{'longitude': -103.45, 'latitude': 46.966666666}"
Virgin Islands National Park,Q491005,"[{'year': '1960', 'visitors': 27200}, {'year': '1970', 'visitors': 126600}, {'year': '1980', 'visitors': 547918}, {'year': '1990', 'visitors': 664735}, {'year': '2000', 'visitors': 703992}, {'year': '2010', 'visitors': 493477}, {'year': '2018', 'visitors': 112287}, {'year': '2019', 'visitors': 133398}, {'year': '2020', 'visitors': 167540}]","{'longitude': -64.933333333, 'latitude': 18.328055555}"
Voyageurs National Park,Q1368788,"[{'year': '1980', 'visitors': 266935}, {'year': '1990', 'visitors': 223554}, {'year': '2000', 'visitors': 227371}, {'year': '2010', 'visitors': 253891}, {'year': '2018', 'visitors': 239656}, {'year': '2019', 'visitors': 232974}, {'year': '2020', 'visitors': 263091}]","{'longitude': -92.883333333, 'latitude': 48.5}"
White Sands National Park,Q1200164,"[{'year': '1940', 'visitors': 54498}, {'year': '1950', 'visitors': 180607}, {'year': '1960', 'visitors': 378500}, {'year': '1970', 'visitors': 515100}, {'year': '1980', 'visitors': 511476}, {'year': '1990', 'visitors': 582487}, {'year': '2000', 'visitors': 515229}, {'year': '2010', 'visitors': 470921}, {'year': '2017', 'visitors': 612468}, {'year': '2020', 'visitors': 415383}]","{'longitude': -106.171667, 'latitude': 32.779722}"
Wind Cave National Park,Q1334313,"[{'year': '1910', 'visitors': 3387}, {'year': '1920', 'visitors': 38000}, {'year': '1930', 'visitors': 88000}, {'year': '1940', 'visitors': 18028}, {'year': '1950', 'visitors': 79344}, {'year': '1960', 'visitors': 864600}, {'year': '1970', 'visitors': 997100}, {'year': '1980', 'visitors': 473061}, {'year': '1990', 'visitors': 586464}, {'year': '2000', 'visitors': 668507}, {'year': '2010', 'visitors': 577141}, {'year': '2018', 'visitors': 656397}, {'year': '2019', 'visitors': 615350}, {'year': '2020', 'visitors': 448405}]","{'longitude': -103.47865, 'latitude': 43.55635}"
Wrangell–St. Elias National Park and Preserve,Q748597,"[{'year': '1990', 'visitors': 35976}, {'year': '2000', 'visitors': 28331}, {'year': '2010', 'visitors': 73170}, {'year': '2012', 'visitors': 87158}, {'year': '2020', 'visitors': 16655}]","{'longitude': -142.953611111, 'latitude': 61.435}"
Yellowstone National Park,Q351,"[{'year': '1910', 'visitors': 19575}, {'year': '1920', 'visitors': 79777}, {'year': '1930', 'visitors': 227901}, {'year': '1940', 'visitors': 526437}, {'year': '1950', 'visitors': 1110524}, {'year': '1960', 'visitors': 1443300}, {'year': '1970', 'visitors': 2297300}, {'year': '1980', 'visitors': 2000269}, {'year': '1990', 'visitors': 2823572}, {'year': '2000', 'visitors': 2838233}, {'year': '2006', 'visitors': 2870295}, {'year': '2010', 'visitors': 3640185}, {'year': '2015', 'visitors': 4097710}, {'year': '2016', 'visitors': 4257177}, {'year': '2020', 'visitors': 3806306}]","{'longitude': -110.5, 'latitude': 44.6}"
Yosemite National Park,Q180402,"[{'year': '1910', 'visitors': 13619}, {'year': '1920', 'visitors': 68906}, {'year': '1930', 'visitors': 458566}, {'year': '1940', 'visitors': 506781}, {'year': '1950', 'visitors': 820953}, {'year': '1960', 'visitors': 1150400}, {'year': '1970', 'visitors': 2277200}, {'year': '1980', 'visitors': 2490282}, {'year': '1990', 'visitors': 3124939}, {'year': '2000', 'visitors': 3400903}, {'year': '2006', 'visitors': 3242644}, {'year': '2010', 'visitors': 3901408}, {'year': '2011', 'visitors': 3951393}, {'year': '2012', 'visitors': 3853404}, {'year': '2013', 'visitors': 3691191}, {'year': '2014', 'visitors': 3882642}, {'year': '2015', 'visitors': 4150217}, {'year': '2016', 'visitors': 5028868}, {'year': '2017', 'visitors': 4336890}, {'year': '2018', 'visitors': 4009436}, {'year': '2019', 'visitors': 4422861}, {'year': '2020', 'visitors': 2268313}, {'year': '2021', 'visitors': 3287595}, {'year': '2022', 'visitors': 3667550}]","{'longitude': -119.5375, 'latitude': 37.7425}"
Zion National Park,Q205325,"[{'year': '1920', 'visitors': 3692}, {'year': '1925', 'visitors': 16817}, {'year': '1930', 'visitors': 55297}, {'year': '1935', 'visitors': 97280}, {'year': '1940', 'visitors': 165029}, {'year': '1945', 'visitors': 78280}, {'year': '1950', 'visitors': 323402}, {'year': '1955', 'visitors': 406800}, {'year': '1960', 'visitors': 575800}, {'year': '1965', 'visitors': 763600}, {'year': '1970', 'visitors': 903600}, {'year': '1975', 'visitors': 1055200}, {'year': '1980', 'visitors': 1123846}, {'year': '1985', 'visitors': 1503272}, {'year': '1990', 'visitors': 2102400}, {'year': '1995', 'visitors': 2430162}, {'year': '2000', 'visitors': 2432348}, {'year': '2005', 'visitors': 2586665}, {'year': '2010', 'visitors': 2665972}, {'year': '2015', 'visitors': 3648846}, {'year': '2020', 'visitors': 3591254}]","{'longitude': -112.98785, 'latitude': 37.202619444}"
